,0
0,0.5429769392033543
1,0.20545073375262055
2,0.7735849056603774
3,0.8071278825995807
4,0.18867924528301888
5,0.8092243186582809
6,0.5576519916142557
7,0.7190775681341719
8,0.6729559748427673
9,0.7463312368972747
10,0.7295597484276729
11,0.8280922431865828
12,0.649895178197065
13,0.6436058700209644
14,0.7526205450733753
15,0.3165618448637317
16,0.8113207547169812
17,0.20754716981132076
18,0.7484276729559748
19,0.8155136268343816
20,0.70020964360587
21,0.2348008385744235
22,0.8197064989517819
23,0.7987421383647799
24,0.5241090146750524
25,0.8113207547169812
26,0.8259958071278826
27,0.7819706498951782
28,0.7421383647798742
29,0.790356394129979
30,0.8238993710691824
31,0.8259958071278826
32,0.710691823899371
33,0.8092243186582809
34,0.8071278825995807
35,0.8050314465408805
36,0.7840670859538784
37,0.8197064989517819
38,0.8029350104821803
39,0.8280922431865828
40,0.7672955974842768
41,0.7610062893081762
42,0.8092243186582809
43,0.8176100628930818
44,0.7966457023060797
45,0.8134171907756813
46,0.8301886792452831
47,0.7819706498951782
48,0.8259958071278826
49,0.8197064989517819
50,0.8071278825995807
51,0.779874213836478
52,0.8071278825995807
53,0.8218029350104822
54,0.8238993710691824
55,0.8176100628930818
56,0.8259958071278826
57,0.7484276729559748
58,0.8176100628930818
59,0.4129979035639413
60,0.8469601677148847
61,0.8050314465408805
62,0.8092243186582809
63,0.2620545073375262
64,0.8176100628930818
65,0.8238993710691824
66,0.8113207547169812
67,0.3689727463312369
68,0.8259958071278826
69,0.7463312368972747
70,0.8113207547169812
71,0.8322851153039832
72,0.8155136268343816
73,0.8113207547169812
74,0.8113207547169812
75,0.7547169811320755
76,0.8218029350104822
77,0.8218029350104822
78,0.8092243186582809
79,0.8259958071278826
80,0.7693920335429769
81,0.8322851153039832
82,0.7861635220125787
83,0.8155136268343816
84,0.8427672955974843
85,0.8071278825995807
86,0.8385744234800838
87,0.7672955974842768
88,0.8343815513626834
89,0.8113207547169812
90,0.8092243186582809
91,0.7064989517819706
92,0.8155136268343816
93,0.8218029350104822
94,0.8155136268343816
95,0.5283018867924528
96,0.8280922431865828
97,0.8113207547169812
98,0.8155136268343816
99,0.7526205450733753
100,0.8301886792452831
101,0.8050314465408805
102,0.8155136268343816
103,0.6121593291404612
104,0.8259958071278826
105,0.8238993710691824
