,0
0,0.1038
1,0.0294
2,0.2318
3,0.2219
4,0.0221
5,0.2371
6,0.1063
7,0.1382
8,0.1878
9,0.1931
10,0.1355
11,0.2257
12,0.1169
13,0.1697
14,0.2347
15,0.0564
16,0.2375
17,0.0394
18,0.233
19,0.2428
20,0.1519
21,0.0323
22,0.2394
23,0.2385
24,0.1002
25,0.2374
26,0.2327
27,0.229
28,0.1692
29,0.2392
30,0.2236
31,0.2425
32,0.1972
33,0.2099
34,0.2435
35,0.2412
36,0.1977
37,0.2468
38,0.2404
39,0.2395
40,0.2339
41,0.1817
42,0.2458
43,0.2196
44,0.244
45,0.2341
46,0.2464
47,0.235
48,0.2508
49,0.2387
50,0.2465
51,0.189
52,0.2471
53,0.2431
54,0.249
55,0.2448
56,0.2522
57,0.1811
58,0.2492
59,0.0635
60,0.2407
61,0.2427
62,0.2429
63,0.05
64,0.2573
65,0.2403
66,0.2409
67,0.065
68,0.2492
69,0.2178
70,0.24
71,0.2387
72,0.2529
73,0.2439
74,0.2421
75,0.2149
76,0.2516
77,0.2394
78,0.242
79,0.2258
80,0.2389
81,0.2322
82,0.2448
83,0.2432
84,0.2399
85,0.2384
86,0.2373
87,0.2384
88,0.2487
89,0.2382
90,0.2447
91,0.1593
92,0.2523
93,0.215
94,0.2455
95,0.0985
96,0.2506
97,0.2417
98,0.2434
99,0.1991
100,0.2498
101,0.2436
102,0.2437
103,0.1268
104,0.2491
105,0.2473
106,0.2484
107,0.2506
108,0.25
109,0.2485
110,0.2472
111,0.2391
112,0.1378
113,0.2418
114,0.0609
115,0.2509
116,0.2407
117,0.2458
118,0.2245
119,0.2436
120,0.2155
121,0.2459
122,0.0681
123,0.2471
124,0.2478
125,0.2494
126,0.2464
127,0.2492
128,0.2525
129,0.2499
130,0.2504
131,0.2465
132,0.2476
133,0.252
134,0.2392
135,0.2431
136,0.2413
137,0.2501
138,0.1495
139,0.232
140,0.2483
141,0.2481
142,0.2403
143,0.2517
144,0.2549
145,0.2484
146,0.245
147,0.2517
148,0.254
149,0.2495
150,0.2376
151,0.249
152,0.2328
153,0.2447
154,0.1113
155,0.2449
156,0.1885
157,0.2497
158,0.2522
159,0.2524
160,0.246
161,0.2515
162,0.2486
163,0.2491
164,0.2406
165,0.2463
166,0.2468
167,0.252
168,0.2428
169,0.2538
170,0.2478
171,0.2532
172,0.2504
173,0.249
174,0.24
175,0.249
176,0.2562
177,0.2468
178,0.2431
179,0.2484
180,0.2537
181,0.2516
182,0.253
183,0.2522
184,0.2449
185,0.2593
186,0.2455
187,0.2526
188,0.25
189,0.2495
190,0.2469
191,0.2534
192,0.2393
193,0.2509
194,0.2472
195,0.2525
196,0.2192
197,0.2468
198,0.2432
199,0.2498
200,0.2341
201,0.2498
202,0.2478
203,0.2502
204,0.2366
205,0.2504
206,0.2459
207,0.2503
208,0.1802
209,0.2523
210,0.2506
211,0.2519
212,0.2394
213,0.2516
214,0.2464
215,0.2578
216,0.2477
217,0.2527
218,0.2463
219,0.2561
220,0.2463
221,0.2566
222,0.2403
223,0.2558
224,0.2484
225,0.2528
226,0.2539
227,0.2504
228,0.2602
229,0.2417
230,0.2561
231,0.2479
232,0.2535
233,0.2471
234,0.2516
235,0.2538
236,0.2577
237,0.2442
238,0.2495
239,0.2532
240,0.2487
241,0.2447
242,0.2381
243,0.2425
244,0.2519
245,0.2356
246,0.2468
247,0.2514
248,0.2501
249,0.2194
250,0.2506
251,0.2486
252,0.25
253,0.2413
254,0.2545
255,0.2491
256,0.2523
257,0.2451
258,0.2529
259,0.2487
260,0.2516
261,0.2441
262,0.2445
263,0.2476
264,0.2505
265,0.2495
266,0.2458
267,0.2502
268,0.2555
269,0.2452
270,0.2544
271,0.2515
272,0.2517
273,0.2517
274,0.2463
275,0.2535
276,0.2507
277,0.2522
278,0.251
279,0.2534
280,0.2519
281,0.2487
282,0.2485
283,0.2534
284,0.2443
285,0.2528
286,0.2463
287,0.2491
288,0.2501
289,0.2547
290,0.2466
291,0.2497
292,0.2553
293,0.2507
294,0.2491
295,0.2526
296,0.2557
297,0.2475
298,0.2513
299,0.2483
300,0.2536
301,0.2548
302,0.2454
303,0.2529
304,0.2449
305,0.2532
306,0.2479
307,0.2488
308,0.2498
309,0.2458
310,0.2507
311,0.2485
312,0.2502
313,0.247
314,0.2513
315,0.2527
316,0.2501
317,0.2492
318,0.2549
319,0.2553
320,0.2493
321,0.2486
322,0.2516
323,0.2562
324,0.2464
325,0.2494
326,0.2556
327,0.2551
328,0.2473
329,0.2487
330,0.2452
331,0.2539
332,0.2501
333,0.2515
334,0.2501
335,0.2512
336,0.2393
337,0.2547
338,0.2509
339,0.2513
340,0.2553
341,0.2567
342,0.2535
